"TimeGenerated","SourceName","Message","ProductName","EventIdentifier","User","Reason"
"19-08-2026 14:34:07","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 Common Files. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 Common Files","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:06","MsiInstaller","Windows Installer reconfigured the product. Product Name: Dell Command | Update for Windows Universal. Product Version: 5.7.1. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.","Dell Command | Update for Windows Universal","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:06","MsiInstaller","Windows Installer reconfigured the product. Product Name: Python Launcher. Product Version: 3.13.15150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.","Python Launcher","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:06","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2014 Express LocalDB. Product Version: 12.3.6024.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft SQL Server 2014 Express LocalDB","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:06","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 Shared Management Objects. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 Shared Management Objects","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:06","MsiInstaller","Windows Installer reconfigured the product. Product Name: Python 3.13.15 Core Interpreter (64-bit). Product Version: 3.13.15150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.","Python 3.13.15 Core Interpreter (64-bit)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:05","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247. Product Version: 14.51.36247. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:05","MsiInstaller","Windows Installer reconfigured the product. Product Name: Check Point VPN. Product Version: 98.61.5609. Product Language: 1033. Manufacturer: Check Point Software Technologies Ltd.. Reconfiguration success or error status: 0.","Check Point VPN","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:05","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 8.0.30 (x86). Product Version: 64.120.56788. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Host - 8.0.30 (x86)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:05","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft ASP.NET Core 8.0.30 Hosting Bundle Options. Product Version: 8.0.30.26373. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft ASP.NET Core 8.0.30 Hosting Bundle Options","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:05","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 SQL Diagnostics. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 SQL Diagnostics","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:05","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247. Product Version: 14.51.36247. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:04","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft ASP.NET Core 8.0.30 Shared Framework (x86). Product Version: 8.0.30.26373. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft ASP.NET Core 8.0.30 Shared Framework (x86)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:04","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2012 Native Client. Product Version: 11.4.7515.2. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft SQL Server 2012 Native Client","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:04","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Windows Desktop Runtime - 8.0.30 (x64). Product Version: 64.120.56881. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Windows Desktop Runtime - 8.0.30 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:04","MsiInstaller","Windows Installer reconfigured the product. Product Name: Python 3.13.15 Executables (64-bit). Product Version: 3.13.15150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.","Python 3.13.15 Executables (64-bit)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:04","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 Shared Management Objects Extensions. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 Shared Management Objects Extensions","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:03","MsiInstaller","Windows Installer reconfigured the product. Product Name: Dell Core Services. Product Version: 1.15.13.0. Product Language: 1033. Manufacturer: Dell, Inc.. Reconfiguration success or error status: 0.","Dell Core Services","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:03","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 DMF. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 DMF","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:03","MsiInstaller","Windows Installer reconfigured the product. Product Name: Browser for SQL Server 2019. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Browser for SQL Server 2019","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:03","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 Database Engine Shared. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 Database Engine Shared","1035","NT AUTHORITY\SYSTEM",
