"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
"Intel® Smart Sound Technology Detection Verification","SYSTEM","Intel(R) Corporation","1.0.4138.0","02-02-2026 05:30:00","Intel(R) Corporation","True","oem37.inf"
"Intel® Smart Sound Technology MIPI SoundWire® Controller","SYSTEM","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem41.inf"
"Intel® Smart Sound Technology OED","SYSTEM","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem10.inf"
"Microsoft ACPI-Compliant Embedded Controller","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Microsoft ACPI-Compliant System","SYSTEM","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","acpi.inf"
"Microsoft Basic Display Driver","SYSTEM","(Standard display types)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","basicdisplay.inf"
"Microsoft Basic Render Driver","SYSTEM","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","basicrender.inf"
"Microsoft Hyper-V Virtualization Infrastructure Driver","SYSTEM","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","wvid.inf"
"Microsoft Hypervisor Service","SYSTEM","Microsoft","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","hvservice.inf"
"Microsoft System Management BIOS Driver","SYSTEM","(Standard system devices)","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","mssmbios.inf"
"Microsoft UEFI-Compliant System","SYSTEM","Microsoft","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","uefi.inf"
"Microsoft Virtual Drive Enumerator","SYSTEM","Microsoft","10.0.26100.1591","21-06-2006 05:30:00","Microsoft","True","vdrvroot.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Microsoft Windows Management Interface for ACPI","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","wmiacpi.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Motherboard resources","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"NDIS Virtual Network Adapter Enumerator","SYSTEM","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","ndisvirtualbus.inf"
"PCI Express Root Complex","SYSTEM","(Standard system devices)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","pci.inf"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","pci.inf"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","pci.inf"
"PCI standard host CPU bridge","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"PCI standard RAM Controller","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Plug and Play Software Device Enumerator","SYSTEM","(Standard system devices)","10.0.26100.4202","23-05-2025 05:30:00","Microsoft","True","swenum.inf"
"Programmable interrupt controller","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Remote Desktop Device Redirector Bus","SYSTEM","Microsoft","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","rdpbus.inf"
"Remote Desktop USB Hub","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","tsusbhub.inf"
"SoundWire Audio Multifunction Device","SYSTEM","SoundWire Audio Multifunction Device","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem58.inf"
"System CMOS/real time clock","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"System timer","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"UMBus Enumerator","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","umbus.inf"
"UMBus Enumerator","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","umbus.inf"
"UMBus Enumerator","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","umbus.inf"
"UMBus Enumerator","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","umbus.inf"
"UMBus Root Bus Enumerator","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","umbus.inf"
"Volume Manager","SYSTEM","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","volmgr.inf"
"XuCsMe Microphone(Ext)","SYSTEM","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","True","oem147.inf"
"XuCsMe Microphone(Ext)","SYSTEM","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","True","oem147.inf"
"XuCsMe Speaker(Ext)","SYSTEM","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","True","oem147.inf"
"XuCsMe Speaker(Ext)","SYSTEM","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","True","oem147.inf"
"UCM-UCSI ACPI Device","UCM","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","ucmucsiacpiclient.inf"
"Generic SuperSpeed USB Hub","USB","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usbhub3.inf"
"Generic SuperSpeed USB Hub","USB","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usbhub3.inf"
"Generic USB Hub","USB","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usbhub3.inf"
"Generic USB Hub","USB","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usbhub3.inf"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","usb.inf"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","usb.inf"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","usb.inf"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","usb.inf"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","usb.inf"
"USB Root Hub (USB 3.0)","USB","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usbhub3.inf"
"USB Root Hub (USB 3.0)","USB","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usbhub3.inf"
"USB xHCI Compliant Host Controller","USB","Generic USB xHCI Host Controller","10.0.26100.8875","07-10-2026 05:30:00","Microsoft","True","usbxhci.inf"
"USB xHCI Compliant Host Controller","USB","Generic USB xHCI Host Controller","10.0.26100.8875","07-10-2026 05:30:00","Microsoft","True","usbxhci.inf"
"USB4 Root Router","USB","Generic USB4 Device Router","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usb4devicerouter.inf"
"USB4(TM) Host Router (Microsoft)","USB","Generic USB4 Host Router","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","True","usb4hostrouter.inf"
"WinUsb Device","USBDEVICE","WinUsb Device","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","winusb.inf"
"WinUsb Device","USBDEVICE","WinUsb Device","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","winusb.inf"
"WinUsb Device","USBDEVICE","WinUsb Device","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","winusb.inf"
"Volume","VOLUME","Microsoft","10.0.26100.5074","21-06-2006 05:30:00","Microsoft","True","volume.inf"
"Volume","VOLUME","Microsoft","10.0.26100.5074","21-06-2006 05:30:00","Microsoft","True","volume.inf"
"Volume","VOLUME","Microsoft","10.0.26100.5074","21-06-2006 05:30:00","Microsoft","True","volume.inf"
"Volume","VOLUME","Microsoft","10.0.26100.5074","21-06-2006 05:30:00","Microsoft","True","volume.inf"
