"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
"Intel(R) ISS HID Device","HIDCLASS","Intel","5.8.50.0","25-08-2025 05:30:00","Intel","True","oem87.inf"
"Microsoft Input Configuration Device","HIDCLASS","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","mtconfig.inf"
"Portable Device Control device","HIDCLASS","Microsoft","10.0.26100.4484","21-06-2006 05:30:00","Microsoft","True","buttonconverter.inf"
"SoundWire HID","HIDCLASS","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem64.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","input.inf"
"Virtual HID Framework (VHF) HID device","HIDCLASS","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","hidvhf.inf"
"HID Keyboard Device","KEYBOARD","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","keyboard.inf"
"HID Keyboard Device","KEYBOARD","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","keyboard.inf"
"HID Keyboard Device","KEYBOARD","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","keyboard.inf"
"HID Keyboard Device","KEYBOARD","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","keyboard.inf"
"Standard PS/2 Keyboard","KEYBOARD","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","keyboard.inf"
"HD Audio Driver for Display Audio","MEDIA","Intel Corporation","32.0.101.8724","16-04-2026 05:30:00","Intel Corporation","True","oem346.inf"
"HD Audio Driver for Display Audio","MEDIA","Intel Corporation","32.0.101.8724","16-04-2026 05:30:00","Intel Corporation","True","oem346.inf"
"Intel ACX Streaming for SDW","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem43.inf"
"Intel® Smart Sound Technology for Bluetooth® Audio","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem32.inf"
"Intel® Smart Sound Technology for Bluetooth® LE Audio","MEDIA","Intel® Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem51.inf"
"Intel® Smart Sound Technology for USB Audio","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem15.inf"
"Microsoft Streaming Service Proxy","MEDIA","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","ksfilter.inf"
"SoundWire ACX Streaming for SDW - Headset Earphone","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem43.inf"
"SoundWire ACX Streaming for SDW - Headset Microphone","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem43.inf"
"SoundWire ACX Streaming for SDW - Microphone Array","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem43.inf"
"SoundWire ACX Streaming for SDW - Speaker","MEDIA","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem43.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem80.inf"
"SoundWire Audio","MEDIA","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","True","oem66.inf"
"USB Audio Device","MEDIA","(Generic USB Audio)","10.0.26100.8875","07-10-2026 05:30:00","Microsoft","True","wdma_usb.inf"
"Dell U2422HE(USB Type_C)","MONITOR","Dell Inc.","1.0.0.0","10-02-2020 05:30:00","Dell Inc.","True","oem462.inf"
"Generic PnP Monitor","MONITOR","(Standard monitor types)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","monitor.inf"
"HID-compliant mouse","MOUSE","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","msmouse.inf"
"HID-compliant mouse","MOUSE","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","msmouse.inf"
"HID-compliant mouse","MOUSE","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","msmouse.inf"
"Check Point Virtual Network Adapter For Endpoint VPN Client","NET","Check Point","2.1.3.0","27-07-2022 05:30:00","Check Point","True","oem40.inf"
"Intel(R) Ethernet Connection (24) I219-LM","NET","Intel","20.0.3.28","02-05-2026 05:30:00","Intel","True","oem568.inf"
"Intel(R) Wi-Fi 7 BE201 320MHz","NET","Intel Corporation","24.50.0.4","20-05-2026 05:30:00","Intel","True","oem533.inf"
"Microsoft Kernel Debug Network Adapter","NET","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","kdnic.inf"
"Realtek USB GbE Family Controller","NET","Realtek","1156.22.20.113","13-01-2026 05:30:00","Realtek","True","oem518.inf"
"WAN Miniport (IKEv2)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netavpna.inf"
"WAN Miniport (IP)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netrasa.inf"
"WAN Miniport (IPv6)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netrasa.inf"
"WAN Miniport (L2TP)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netrasa.inf"
