"FriendlyName","Class","Status","Problem","InstanceId"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_00\7&385F5720&0&0000"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\7&126351D3&0&0001"
"Generic SuperSpeed USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_5806\5&266331BC&0&4"
"Generic SuperSpeed USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_5806\5&266331BC&0&5"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_01\6&5406B41&0&0001"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL01\8&4955910&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_00\6&35358605&0&0000"
"Headset Microphone (Plantronics Blackwire 3225 Series)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{DB4E84B3-3D8B-40D6-B1A7-7625A4803C6A}"
"HID-compliant headset","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL04\7&2893BDB8&0&0003"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\7&1A68576E&0&0003"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_00\6&5406B41&0&0000"
"Generic Monitor (HP 22cw)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\HWP3183\4&20B8D095&0&UID24648"
"TSC TE244","USB","Unknown","CM_PROB_PHANTOM","USB\VID_1203&PID_0272\000001"
"Beatbox","SoftwareDevice","Unknown","CM_PROB_PHANTOM","SWD\ASPINFRA\BEATBOX._DISPLAY._TCP.LOCAL"
"DELL U2422HE (3- HD Audio Driver for Display Audio)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{C78B6291-923B-4734-B0E3-CB3790D7950E}"
"Generic Monitor (HP 22cw)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\HWP3183\4&20B8D095&0&UID4145"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\8&17CA6AF0&0&0004"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\8&1DFCDEF3&0&0001"
"Dell DA310","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010&MI_00\7&34E192F8&0&0000"
"nRF24LU1P-F32 BOOT LDR","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_1915&PID_0101\5&2DC84FBA&0&6"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\7&36981BE3&0&0001"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_7260&MI_01\7&2E6901D8&0&0001"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_00\7&38C38A4F&0&0000"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\9&27E43A1E&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503&MI_01\6&25B24EBB&0&0001"
"Microsoft Bluetooth Enumerator","Bluetooth","Unknown","CM_PROB_PHANTOM","BTH\MS_BTHBRB\6&4CC9C94&0&1"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&9&2E13A1C2&0"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_248D&PID_8003\6&6A9522F&0&3"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_284C&MI_01\7&1839E01B&0&0001"
"Headset Earphone (Plantronics Blackwire 3225 Series)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{D7DAFB15-BBEE-4206-ADD7-7FE4FA8CC44E}"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514\7&A758D7D&0&3"
"Intel High Definition Audio",,"Unknown","CM_PROB_PHANTOM","HDAUDIO\SGPC_FUNC_01&VEN_8086&DEV_281D&SUBSYS_80860101&REV_1000\4&417D3CC&0&0201DIF_000B&UIF_0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_A524&MI_03\6&F3C4E&0&0003"
"Pandorabox1","SoftwareDevice","Unknown","CM_PROB_PHANTOM","SWD\ASPINFRA\PANDORABOX1._DISPLAY._TCP.LOCAL"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_00\7&2E598572&0&0000"
"Dell DA310","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010&MI_00\7&219A59CA&0&0000"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\7&25936E11&0&0002"
"Dell P2422HE(USB Type_C)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\DELA1C6\4&20B8D095&0&UID8263"
"Intel(R) SoC Thermal IPF Extension Provider","SoftwareComponent","Degraded","CM_PROB_NONE","SWD\DRIVERENUM\{03849B83-DE07-4366-ADDD-7B5DBB16ECFC}#IPFEFPROVIDERCOMPONENT&4&23556E4&0"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_00\8&61C42AC&0&0000"
"Microsoft Bluetooth LE Enumerator","Bluetooth","Unknown","CM_PROB_PHANTOM","BTH\MS_BTHLE\6&4CC9C94&0&3"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL01\7&1A3E2A54&0&0000"
"Generic Monitor","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\DEFAULT_MONITOR\3&629B398&0&UID256"
"PS/2 Compatible Mouse","Mouse","Unknown","CM_PROB_PHANTOM","ACPI\DLL0CE8\4&A107C53&0"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_01\7&385F5720&0&0001"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_00\8&ACCC2B5&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_00\7&1E4CE273&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_01\6&35358605&0&0001"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL05\7&2893BDB8&0&0004"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\7&1A68576E&0&0004"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503\5&2DC84FBA&0&7"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL01\8&17CA6AF0&0&0000"
"Logi (2- HD Audio Driver for Display Audio)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{6522B6A3-DC84-46CF-B6E4-015096066078}"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\8&1DFCDEF3&0&0002"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514\6&6A9522F&0&2"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010\11AD1D0A92AE3E18402F0B00"
"Dell DA310","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010&MI_01\7&34E192F8&0&0001"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_00\8&2CBEBCA7&0&0000"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&8&894AD83&0"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\9&27E43A1E&0&0001"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503&MI_02\6&25B24EBB&0&0002"
"Dell DA310","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010&MI_00\7&3B213AAE&0&0000"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_047F&PID_C057\66894F7A611AC04D8DE7E8BE38E4DE4B"
