"Name","Id","Path","StartTime","CPU_s","WorkingSetMB"
"Dell.TechHub.Analytics.SubAgent","19692","C:\Program Files\Dell\DTP\AnalyticsSubAgent\Dell.TechHub.Analytics.SubAgent.exe","18-08-2026 14:32:45","58.15625","41.6"
"Dell.TechHub.DataManager.SubAgent","15524","C:\Program Files\Dell\DTP\DataManagerSubAgent\Dell.TechHub.DataManager.SubAgent.exe","18-08-2026 14:32:45","430.78125","31.4"
"Dell.TechHub.Instrumentation.SubAgent","3760","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","18-08-2026 14:32:45","242.921875","125.2"
"Dell.TechHub.Instrumentation.UserProcess","19324","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","18-08-2026 14:32:58","61.375","29.1"
"Dell.UCA.Manager","12076","C:\Program Files\Dell\MyDell\Manager\Dell.UCA.Manager.exe","18-08-2026 14:32:45","18.28125","16.7"
"Dell.Update.SubAgent","18548","C:\Program Files (x86)\Dell\UpdateService\DCF\Dell.Update.SubAgent.exe","18-08-2026 14:32:45","10.0625","10.3"
"DlpUserAgent","13592","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\DlpUserAgent.exe","18-08-2026 14:31:20","4.484375","3.1"
"DPM","1364","C:\Program Files\Dell\Dell Peripheral Manager\DPM.exe","18-08-2026 14:31:26","59.09375","10.9"
"DPMCrashHandler","6872","C:\Program Files\Dell\Dell Peripheral Manager\DPMCrashHandler.exe","18-08-2026 14:31:12","0.1875","1"
"DPMCrashHandler","15160","C:\Program Files\Dell\Dell Peripheral Manager\DPMCrashHandler.exe","18-08-2026 14:31:27","0.171875","1.4"
"DPMService","4640","C:\Program Files\Dell\Dell Peripheral Manager\DPMService.exe","18-08-2026 14:30:54","37.34375","12.6"
"dwm","1956","C:\Windows\system32\dwm.exe","18-08-2026 14:30:53","1715.078125","321.5"
"EnhanceCS","4592","C:\Windows\System32\DriverStore\FileRepository\cl01002_apo.inf_amd64_e619acf00d98d76a\EnhanceCS.exe","18-08-2026 14:30:54","1.78125","2.3"
"EPWD","4680","C:\Program Files (x86)\CheckPoint\Endpoint Connect\Watchdog\EPWD.exe","18-08-2026 14:30:54","13.078125","5.1"
"explorer","13172","C:\Windows\Explorer.EXE","18-08-2026 14:31:22","464.84375","236.3"
"FileCoAuth","15484","C:\Program Files\Microsoft OneDrive\26.139.0720.0007\FileCoAuth.exe","18-08-2026 17:57:07","2.484375","11.1"
"FileSyncHelper","17536","C:\Program Files\Microsoft OneDrive\26.139.0720.0007\FileSyncHelper.exe","18-08-2026 14:32:31","0.9375","4.6"
"fnms-docker-monitor","4728","C:\Program Files (x86)\ManageSoft\Container\fnms-docker-monitor.exe","18-08-2026 14:30:54","3.28125","2.4"
"fontdrvhost","1608","C:\Windows\system32\fontdrvhost.exe","18-08-2026 14:30:53","1.96875","0.8"
"fontdrvhost","1616","C:\Windows\system32\fontdrvhost.exe","18-08-2026 14:30:53","2.734375","4.6"
"Idle","0",,,,"0"
"IgoAudioService_x64","4696","C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_f4165b132d250bca\IgoAudioService_x64.exe","18-08-2026 14:30:54","0.421875","4.1"
"iGoSwServer","6708","C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_f4165b132d250bca\iGoSwServer.exe","18-08-2026 14:30:56","1.453125","1.7"
"iGoSwServer","14164","C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_f4165b132d250bca\iGoSwServer.exe","18-08-2026 14:31:21","12.671875","3.6"
"Integration.Service","24048","C:\Program Files\Seagull\BarTender 11.5\Integration.Service.exe","18-08-2026 14:33:12","512.15625","72.5"
"IntelAudioService","4712","C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_9c2507cd1e59b188\AS\IAS\IntelAudioService.exe","18-08-2026 14:30:54","2.125","4.5"
"IntelGraphicsSoftware.Service","7644","C:\Program Files\WindowsApps\AppUp.IntelArcSoftware_26.26.2459.0_x64__8j3eq9eme6ctt\VFS\ProgramFilesX64\Intel\Intel Graphics Software\IntelGraphicsSoftware.Service.exe","18-08-2026 14:30:56","9.140625","7.8"
"ipf_helper","13600","C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_67eebeb56ed505a2\ipf_helper.exe","18-08-2026 14:31:20","125.5625","3.6"
