"Name","Version","Publisher","InstallLocation"
"MicrosoftWindows.60719895.Livtop","1000.26100.8115.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.60719895.Livtop_cw5n1h2txyewy"
"MicrosoftWindows.60719896.Speion","1000.26100.8115.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.60719896.Speion_cw5n1h2txyewy"
"MicrosoftWindows.60719898.InpApp","1000.26100.8115.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.60719898.InpApp_cw5n1h2txyewy"
"MicrosoftWindows.Client.Photon","1000.26100.10.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy"
"MicrosoftWindows.UndockedDevKit","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy"
"Windows.CBSPreview","10.0.19580.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Windows.CBSPreview_cw5n1h2txyewy"
"windows.immersivecontrolpanel","10.0.8.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\ImmersiveControlPanel"
"Windows.PrintDialog","6.2.3.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Windows.PrintDialog_cw5n1h2txyewy"
"Microsoft.AIFabric.CBS.1.6","1.6.938.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.AIFabric.CBS.1.6_8wekyb3d8bbwe"
"Microsoft.UI.Xaml.CBS","9.2603.18001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.UI.Xaml.CBS_8wekyb3d8bbwe"
"Microsoft.Windows.OOBENetworkCaptivePortal","10.0.26569.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy"
"Microsoft.Windows.OOBENetworkConnectionFlow","10.0.26569.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy"
"Microsoft.WindowsAppRuntime.CBS.1.8","8000.800.1936.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.vNext.CBS_8wekyb3d8bbwe"
"MicrosoftWindows.Client.FileExp","1000.26100.7.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy"
"Microsoft.WindowsAppRuntime.CBS.1.6","6000.872.154.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS.2","2.1.1.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS.2_8wekyb3d8bbwe"
"Microsoft.ECApp","10.0.26100.8737","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe"
"Microsoft.LockApp","10.0.26100.8737","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy"
"MicrosoftWindows.57242383.Tasbar","1000.26100.8737.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.57242383.Tasbar_cw5n1h2txyewy"
"MicrosoftWindows.61869720.Voiess","1000.26100.8737.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.61869720.Voiess_cw5n1h2txyewy"
"MicrosoftWindows.61869721.Livtop","1000.26100.8737.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.61869721.Livtop_cw5n1h2txyewy"
"MicrosoftWindows.61869722.Speion","1000.26100.8737.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.61869722.Speion_cw5n1h2txyewy"
"MicrosoftWindows.61869836.InpApp","1000.26100.8737.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\SxS\MicrosoftWindows.61869836.InpApp_cw5n1h2txyewy"
"MicrosoftWindows.Client.CBS","1000.26100.334.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy"
"MicrosoftWindows.Client.CoreAI","1000.26100.8875.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy"
"MicrosoftWindows.Client.Core","1000.26100.131.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy"
"MicrosoftWindows.Client.OOBE","1000.26100.47.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy"
