"DisplayName","DisplayVersion","Publisher","InstallDate","InstallLocation","UninstallString"
"Microsoft ASP.NET Core 8.0.30 Hosting Bundle Options","8.0.30.26373","Microsoft Corporation","20260819","","MsiExec.exe /I{F4291768-629B-3B3A-92F3-90FFBD9E3E1E}"
"Microsoft ASP.NET Core 8.0.30 Shared Framework (x64)","8.0.30.26373","Microsoft Corporation","20260819","","MsiExec.exe /X{A081A51B-E62A-39B8-913E-BADD8740D7C5}"
"Microsoft ASP.NET Core 8.0.30 Shared Framework (x86)","8.0.30.26373","Microsoft Corporation","20260819","","MsiExec.exe /X{98AA17D7-FF83-3C11-B247-5AD82E63F6AE}"
"Microsoft Edge","151.0.4129.93","Microsoft Corporation","20260819","C:\Program Files (x86)\Microsoft\Edge\Application","""C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.93\Installer\setup.exe"" --uninstall --msedge --channel=stable --system-level --verbose-logging"
"Microsoft Edge WebView2 Runtime","151.0.4129.86","Microsoft Corporation","20260817","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
"Microsoft Intune Management Extension","1.104.102.0","Microsoft Corporation","20260806","","MsiExec.exe /I{6A7DFC50-0395-4E1E-BF84-ED1404E72051}"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20260529","","MsiExec.exe /I{0E0F96AC-80DE-4400-A40C-429D63293651}"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","20260529","","MsiExec.exe /I{76EB75D2-CCF6-41A9-90B6-922DE9146276}"
"Microsoft OneDrive","26.139.0720.0007","Microsoft Corporation",,,"""C:\Program Files\Microsoft OneDrive\26.139.0720.0007\OneDriveSetup.exe""  /uninstall  /allusers "
"Microsoft Power BI Desktop (x64)","2.156.951.0","Microsoft Corporation","20260723","","MsiExec.exe /X{4deec406-d7e0-43e5-bef4-f31b60a07d81}"
"Microsoft PowerBI Desktop (x64)","2.156.951.0","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{a248528d-52c3-4e4a-9266-dfbd6f8bb82b}\PBIDesktopSetup_x64.exe""  /uninstall"
"Microsoft SQL Server 2012 Native Client ","11.4.7515.2","Microsoft Corporation","20260529","","MsiExec.exe /I{ADA823D7-2A3F-4FC6-96AC-C11656168D1E}"
"Microsoft SQL Server 2014 Express LocalDB ","12.3.6024.0","Microsoft Corporation","20260528","","MsiExec.exe /I{BAF67399-85CD-4555-9B49-1F80EB921C35}"
"Microsoft SQL Server 2019 (64-bit)",,"Microsoft Corporation",,,"""C:\Program Files\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64\SetupARP.exe"""
"Microsoft SQL Server 2019 RsFx Driver","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{5825CDC4-4E99-4CF9-91FE-DB60C0E2F5EA}"
"Microsoft SQL Server 2019 Setup (English)","15.0.4013.40","Microsoft Corporation","20260528","","MsiExec.exe /X{17DCED0E-5B27-453A-B2B4-E487B869B28A}"
"Microsoft SQL Server 2019 T-SQL Language Service ","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{31D27B41-A051-49D8-907A-62E0F4A2188C}"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.26.18801","Microsoft","20260818","","MsiExec.exe /I{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91}"
"Microsoft Visio LTSC Professional 2021 - en-us","16.0.20228.20188","Microsoft Corporation",,"C:\Program Files\Microsoft Office","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" scenario=install scenariosubtype=ARP sourcetype=None productstoremove=VisioPro2021Volume.16_en-us_x-none culture=en-us version.16=16.0"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611","","MsiExec.exe /I{6FA797CF-6B76-4B6D-87EE-768F92008720}"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611","","MsiExec.exe /I{931A2CF0-2404-45EA-82F5-345735AE6A90}"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611","","MsiExec.exe /I{582BA719-E6F1-4651-A873-049E6A0DDDAF}"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611","","MsiExec.exe /I{4BF7CE18-E151-449F-9190-6CDBED0BB4A2}"
"Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{0e3bb569-69d6-4c34-bff9-c2f81db5e5f0}\VC_redist.x64.exe""  /uninstall"
"Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{9a6ce18d-11c0-4452-aa35-9f2b8437c686}\VC_redist.x86.exe""  /uninstall"
"Microsoft Visual Studio Code","1.122.1","Microsoft Corporation","20260531","C:\Program Files\Microsoft VS Code\","""C:\Program Files\Microsoft VS Code\unins000.exe"""
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260721","","MsiExec.exe /I{2C33F4D4-E9A5-4DE1-ACFE-3A13464E6703}"
"Microsoft Windows Desktop Runtime - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","20260819","","MsiExec.exe /X{042FE0BF-0E19-47E0-8864-22F483C784E6}"
"Microsoft Windows Desktop Runtime - 8.0.30 (x64)","64.120.56881","Microsoft Corporation","20260819","","MsiExec.exe /X{6784D4C7-0D5A-468F-A27D-4B687DC16EFF}"
"Microsoft Windows Desktop Runtime 10.0.11 (x64)","10.0.11.50000","Microsoft Corporation","20260819",,"""C:\ProgramData\Package Cache\{96749152-C361-49E0-BAC6-818F491B9276}\windowsdesktop-runtime-10.0.11-win-x64.exe""  /uninstall"
