"ReportFolder","SourcePath","LastWriteTime"
"AppHang_Microsoft.Window_a69f31b2ab85e1d3c8d8a04a35b7e0d6d39a8f_e7ece8d2_87c0e45e-99ac-441f-80f0-5d619711126b","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-06-2026 09:01:40"
"AppHang_windows.immersiv_951fe91f24d546da7da2cb98ca1e572dc4e42f9_fcc02445_a4213f7a-3ffe-45d5-adb6-0dc053293192","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","27-05-2026 20:12:39"
"Critical_10.0.26100.8456__2479cefda39dba992993f710a21efaf9cf994f7f_00000000_3c0c78e8-2f10-4232-9cde-3a620aa03357","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","17-06-2026 10:24:17"
"Critical_10.0.26100.8456__588a4e24cb24a86c1946ed4b5d39432ee7803dfd_00000000_b355c8c5-fb99-4267-85d0-8de36eb66cc6","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","01-06-2026 09:43:27"
"Critical_10.0.26100.8648__415119cf26572507dc7aa6e671d2d2a2062761a_00000000_77b95948-4a16-4830-af4d-dc61810ca0b2","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","22-07-2026 11:14:54"
"Critical_10.0.26100.8648__66edba74fb1f933843261d2048297de2e05b2ff5_00000000_006feff9-0c91-4c8a-9736-d844fdedf88d","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","17-06-2026 10:28:31"
"Critical_10.0.26100.8872__5e4f1f4198e0dbf048cd9771249c2c2d1ab2140_00000000_20943b74-e664-410e-b5fb-bf6cd8ce0375","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","22-07-2026 11:19:53"
"Critical_10.0.26100.8872__70328484e0a3ecf4fba74ac06237575bbf6bbbe_00000000_b3ea23c0-2582-4cba-9ce5-19bef7e03930","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","03-08-2026 09:48:53"
"Critical_powershell.exe_4125646f1f4581f45cbd61da7f43f4e3d2ff87a_ad68a21d_79999d19-2672-471d-82bf-f3808ba28ffa","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","18-08-2026 19:05:07"
"Critical_sqlservr.exe_fac1c51a5b374d18dd0e796998ab78c4dc789_00000000_84df139e-fbb4-4ee2-875f-5569fda23a97","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","01-06-2026 09:16:57"
